acak	a c a k
peminjamannya	p e m i n j a m a n ny a
peminjamnya	p e m i n j a m ny a
penasaran	p e n a s a r a n
pengencer	p e ng ex n c ex r
penjelasannya	p e n j e l a s a n ny a
penting	p e n t i ng
perasaanku	p e r a s a a n k u
percuma	p e r c u m a
perempuan	p e r e m p u a n
pergi	p e r g i
permasalahan	p e r m a s a l a h a n
pernah	p e r n a h
perpustakaan	p e r p u s t a k a a n
perpustakaannya	p e r p u s t a k a a n ny a
pertanyaannya	p e r t a ny a a n ny a
pesan	p e s a n
piket	p i k ex t
piketku	p i k ex t k u
pikir	p i k i r
pikirin	p i k i r i n
pikirkan	p i k i r k a n
pilihan	p i l i h a n
pinjam	p i n j a m
pintar	p i n t a r
pokoknya	p o k o k ny a
pribadi	p r i b a d i
produksi	p r o d u k s i
publikasikan	p u b l i k a s i k a n
pulang	p u l a ng
puluh	p u l u h
pun	p u n
punya	p u ny a
pustakawatinya	p u s t a k a w a t i ny a
putri	p u t r i
rahasia	r a h a s i a
ramalan	r a m a l a n
rapat	r a p a t
rasa	r a s a
ringan	r i ng a n
ruang	r u a ng
rumah	r u m a h
rumahku	r u m a h k u
saat	s a a t
saja	s a j a
salah	s a l a h
salam	s a l a m
saling	s a l i ng
sama	s a m a
sampai	s a m p a i
sampul	s a m p u l
sana	s a n a
sangat	s a ng a t
sastra	s a s t r a
satoshi	s a t o sy i
satu	s a t u
sd	ex s d ex
sebagai	s e b a g a i
sebanyak	s e b a ny a k
sebegitu	s e b e g i t u
sebelum	s e b e l u m
sebelumnya	s e b e l u m ny a
sebenarnya	s e b e n a r ny a
sebesar	s e b e s a r
sebutan	s e b u t a n
secara	s e c a r a
sedang	s e d a ng
sedikit	s e d i k i t
sejak	s e j a k
sejarah	s e j a r a h
sekali	s e k a l i
sekarang	s e k a r a ng
sekeras	s e k e r a s
sekolah	s e k o l a h
selain	s e l a i n
selalu	s e l a l u
selama	s e l a m a
selamat	s e l a m a t
selesai	s e l e s a i
semacam	s e m a c a m
seminggu	s e m i ng g u
semua	s e m u a
semuanya	s e m u a ny a
sendiri	s e n d i r i
sengaja	s e ng a j a
seni	s e n i
seperti	s e p e r t i
sepertimu	s e p e r t i m u
sepertinya	s e p e r t i ny a
sepulang	s e p u l a ng
serba	s e r b a
sesuatu	s e s u a t u
setahun	s e t a h u n
setelah	s e t e l a h
setengah	s e t e ng a h
setiap	s e t i a p
seyakin	s e y a k i n
sialan	s i a l a n
siang	s i a ng
siapa	s i a p a
sih	s i h
silakan	s i l a k a n
sini	s i n i
sip	s i p
siput	s i p u t
sisa	s i s a
sisi	s i s i
siswi	s i s w i
sma	ex s ex m a
smp	ex s ex m p ex
soalnya	s o a l ny a
stan	s t a n
suatu	s u a t u
sudah	s u d a h
suka	s u k a
sukarelawan	s u k a r ex l a w a n
susah	s u s a h
tadi	t a d i
tahu	t a h u
tahun	t a h u n
tahunan	t a h u n a n
tak	t a k
tameng	t a m ex ng
tandus	t a n d u s
tangan	t a ng a n
tanpa	t a n p a
tanya	t a ny a
tapi	t a p i
teh	t ex h
tempat	t e m p a t
tengoklah	t ex ng o k l a h
tentang	t e n t a ng
tentu	t e n t u
terasa	t e r a s a
terbaik	t e r b a i k
terbatasnya	t e r b a t a s ny a
terdengar	t e r d e ng a r
terima	t e r i m a
terjadi	t e r j a d i
terlalu	t e r l a l u
terpecahkan	t e r p e c a h k a n
tersinggung	t e r s i ng g u ng
tertentu	t e r t e n t u
terus	t e r u s
terutama	t e r u t a m a
tetap	t e t a p
tiap	t i a p
tiba	t i b a
tidak	t i d a k
tolong	t o l o ng
tradisi	t r a d i s i
tuan	t u a n
tugas	t u g a s
tuh	t u h
tujuan	t u j u a n
tumben	t u m b ex n
tunggu	t u ng g u
turut	t u r u t
udah	u d a h
udahlah	u d a h l a h
untuk	u n t u k
urusan	u r u s a n
wah	w a h
waktu	w a k t u
ya	y a
yang	y a ng
yap	y a p
yo	y o
